DEPTH,ROP5,AZIM_CONT_RT,SHK_ISONIC_RT,TQA,SHKTOT_RT,CRPM_RT,ARC_GR_RT,RHOB_DH_ADN_RT,SPM1,DEPT,APRS_RT,SHK_ADN_RT,STAT_ADN_RT,P40L_RT,TRPM_RT,TFLO,ADIA_ADN_RT,RPM,P40H_RT,INCL_CONT_RT,SHKPK_RT,ROP,BITRUN,SPM3,STUCK_RT,STAT_ISONIC_RT,SPPA,SHKRSK_RT,TNPH_ADN_RT,SPM2,ECD_ARC_RT,DRHO_DH_ADN_RT,HKLD,DTCO_RT,PASS_NAME,SWOB,SHK2_RT,DVER,P28H_RT,STWD_RT
226.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.8678216,,
226.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
227.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.0202216,,
227.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
227.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.1726216,,
227.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
227.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.3250216,,
227.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
227.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.4774216,,
227.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
227.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.6298216,,
227.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
227.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.7822216,,
227.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
227.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.9346216,,
227.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
228.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0870216,,
228.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
228.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.2394216,,
228.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
228.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.3918216,,
228.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
228.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.5442216,,
228.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
228.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.6966216,,
228.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
228.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.8490216,,
228.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
229.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0014216,,
229.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
