Depth,MWIN,HKLD_AVG,ONBOTTOM_TIME,MWINANN,WOB_MAX,SURF_REVS,WOB_MIN,BIT_RPM_MIN,STRATESUM,TBR,MROUT,FLOWIN,FLOWOUT,BIT_RPM_MAX,TORQUE_AVG,ROT_TIME,MRIN,FLOWOUTPC,PUMP_MAX,MUDRETDEPTH,MOTOR_RPM,TOTGAS_MAX,TORQUE_MAX,TOTGAS_AVG,HKLD_MAX,WOB_AVG,MWOUT,ECDBIT,TORQUE_MIN,MTIN,RigActivityCode,BIT_DIST,EditFlag,PIT_DRILL,MTOUT,PUMP_AVG,HKLD_MIN,BIT_RPM_AVG,PUMP_MIN,BITVELOCITY,Time
2583.6,0,1334139.2,0,0,89082.57,2985.63,-4472.517,0.82059,1.1333333,0,0,0.025103333,0.031052543,0.86160567,13414.733,10766,0,0,6826598.3,0,0,0,15327.92,0,1361951,65493.775,0,0,9955.252,0,112,3231,0,52.302263,0,6788912.4,1323490,0.82753279,6763051.1,0.027929076,2013-10-25T17:03:37.000Z
2583.9,0,1321007.4,0,0,85236.57,3002.18,-3524.231,0.82059,1.1333333,0,0,0.025103333,0.0308536,0.85087,12561.604,10786,0,0,6795683,0,0,0,16357.25,0,1350413,72778.645,0,0,9992.508,0,112,3231,0,52.324431,0,6780291,1308106,0.83450485,6750201.5,0.047801687,2013-10-25T17:03:57.000Z
2584.2,0,1314118.9,0,0,92928.57,3010.44,24182.48,0.81068017,1.1333333,0,0,0.025103333,0.031147577,0.83683117,13525.475,10796,0,0,6813883.5,0,0,0,14412.06,0,1319644,90718.871,0,0,11600.87,0,112,3231,0,52.342924,0,6802993.1,1308106,0.82550731,6782027,0.069822689,2013-10-25T17:04:07.000Z
2584.5,0,1311651.6,0,0,89082.57,3015.46,26635.75,0.83683117,1.1333333,0,0,0.025103333,0.030765338,0.83683117,13450.588,10802,0,0,6822282,0,0,0,14588.85,0,1319644,83968.36,0,0,11580.04,0,112,3231,0,52.348009,0,6815534.2,1304260,0.83696177,6793954,0.0896953,2013-10-25T17:04:13.000Z
2584.8,0,1318390.4,0,0,96774.57,3038.92,-16955.64,0.814534,1.1333333,0,0,0.025103333,0.031288173,0.86105517,13343.42,10830,0,0,6822282,0,0,0,15129.79,0,1373489,76726.027,0,0,8726.93,0,112,3231,0,52.357609,0,6783651.3,1304260,0.83768624,6726903.1,0.025780685,2013-10-25T17:04:41.000Z
2585.1,0,1320427.1,0,0,85236.57,3047.23,15674.45,0.8211405,1.1333333,0,0,0.025103333,0.031040886,0.83848267,14027.37,10840,0,0,6797461.8,0,0,0,16661.91,0,1327336,79282.736,0,0,10342.05,0,112,3231,0,52.371793,0,6767327.8,1315798,0.83135791,6751059.8,0.061229127,2013-10-25T17:04:51.000Z
2585.4,0,1335755.2,0,0,93605.58,3064.02,-7553.807,0.8211405,1.1333333,0,0,0.025103333,0.030790762,0.84151067,13196.724,10860,0,0,6767877.5,0,0,0,16416.11,0,1365797,61436.345,0,0,10121.56,0,112,3231,0,52.382593,0,6752183.1,1319644,0.83761789,6736918.6,0.039745223,2013-10-25T17:05:11.000Z
2585.7,0,1334565.5,0,0,73698.57,3077.48,16913.68,0.81288233,1.1333333,0,0,0.025103333,0.03016618,0.84646567,14647.645,10876,0,0,6762566,0,0,0,16719.47,0,1342720,67167.46,0,0,12676.2,0,112,3231,0,52.390891,0,6740378.8,1327336,0.84055061,6710603.7,0.037059735,2013-10-25T17:05:27.000Z
2586,0,1319526.7,0,0,108313.57,3109.22,-11824.74,0.82306733,1.1333333,0,0,0.025103333,0.030564336,0.8563755,12785.316,10914,0,0,6747962.5,0,0,0,15760.44,0,1361951,65768.929,0,0,10308.49,0,112,3231,0,52.3977,0,6722777.6,1292721,0.83547343,6687551.9,0.032762954,2013-10-25T17:06:05.000Z
2586.3,0,1337756.8,0,0,108313.57,3135.82,-18471,0.83132567,1.1333333,0,0,0.025103333,0.030273913,0.83132567,12705.679,10946,0,0,6716682.3,0,0,0,15004.15,0,1377335,63913.2,0,0,8626.322,0,112,3231,0,52.41798,0,6697537.1,1292721,0.83120357,6663044.8,0.046190394,2013-10-25T17:06:37.000Z
2586.6,0,1334816.7,0,0,81390.57,3149.12,11587.87,0.83132567,1.1333333,0,0,0.025103333,0.030533904,0.83132567,13896.106,10962,0,0,6713526.9,0,0,0,15201.58,0,1381181,63042.262,0,0,9835.828,0,112,3231,0,52.419875,0,6697575.3,1319644,0.8313074,6665449.7,0.022021002,2013-10-25T17:06:53.000Z
2586.9,0,1341958.6,0,0,92928.57,3193.29,-13578.66,0,1.1333333,0,0,0.025103333,0.030171993,0.85802717,12624.703,11018,0,0,6685596.9,0,0,0,15756.59,0,1365797,55886.744,0,0,8394.248,0,112,3231,0,52.466873,0,6581740.1,1308106,0.67360643,6311096.9,0.01342744,2013-10-25T17:07:49.000Z
2587.2,0,1267226.5,0,0,135236.57,3193.29,14099.87,0,1.1333333,0,0,0.025103333,0.030747305,0,7091.9288,11018,0,0,6311096.9,0,0,0,8394.248,0,1358105,121799.95,0,0,6912.806,0,12,3231,0,52.461101,0,6072868.6,1265798,-0.037918627,6006811.5,0.053709761,2013-10-25T17:08:01.000Z
2587.5,0,1259046.7,0,0,166005.57,3193.29,25650.98,0,1.0757445,0,0,0.023827741,0.026974614,0,4298.7742,11018,0,0,6006811.5,0,0,0,6912.806,0,1308106,136923.3,0,0,3632.788,0,12,3231,0,52.535566,0,2544003.5,1235029,9.7913479E-05,1048353.8,0.027391978,2013-10-25T17:08:29.000Z
2587.8,0,1256063.2,0,0,154466.57,3193.29,8564.305,0,0.68390658,0,0,0.015148531,0.020247935,0,3350.3051,11018,0,0,1048353.8,0,0,0,3632.788,0,1265798,142851.66,0,0,2952.751,0,12,3231,0,52.769472,0,1019921.7,1246568,2.3766226E-06,959155.06,0.04941298,2013-10-25T17:08:41.000Z
2588.1,0,1255181.2,0,0,154466.57,3258.37,31795.2,0,0.36666667,0,0,0.0081216667,0.020451182,0,6.462202,11217,0,0,2462841.9,0,0,0,6.462202,0,1258106,147267.96,0,0,6.462202,0,12,3231,0,54.105236,0,2459954.7,1254260,0,2456139.2,0.096207816,2013-10-25T17:21:05.000Z
