Time,FLOWOUT,RigActivityCode,BLOCKCOMP,TRIPOUTSLIPS,STANDSTOGO,EditFlag,TRIPPULL,TRIPREAMFLAG,PIT_TRIPOUT,TRIPPVT,TRIPCFILL,JOINTSDONE,HKLD,Depth,TRIPRUN,TRIPEXPFILL,STANDSDONE,TRIPINSLIPS,INSLIPS_STATUS,TRIPEXPPVT,TRIPFILL,TRIPCEXPFILL,JOINTSTOGO,TRIPNUM,FLOWOUTPC,PIT_TRIPIN
2016-08-28T11:14:30.000Z,3.0958427E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3031,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:15:00.000Z,3.0947791E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3061,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:15:30.000Z,3.097677E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3089,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:16:00.000Z,3.0954169E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3119,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:16:30.000Z,3.0969697E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3149,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:17:00.000Z,3.0924127E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3179,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:17:30.000Z,3.0969617E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3209,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:18:00.000Z,3.0934974E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3239,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:18:30.000Z,3.0933245E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3269,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:19:00.000Z,3.0963522E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,700421,1,0,0.005451232,1,3299,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:19:30.000Z,3.0944353E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3329,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:20:00.000Z,3.0977673E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3357,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:20:30.000Z,3.0992799E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3387,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:21:00.000Z,3.0978248E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3417,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:21:30.000Z,3.0988392E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3447,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:22:00.000Z,3.098738E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3477,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:22:30.000Z,3.0959611E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3507,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:23:00.000Z,3.0951738E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3537,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:23:30.000Z,3.0984421E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3567,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:24:00.000Z,3.0947801E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3597,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:24:30.000Z,3.0983897E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3632,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:25:00.000Z,3.0959741E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3662,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:25:30.000Z,3.0931939E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3692,0,0.005451232,0,0,38,1,0,4.510181
